phase,channel,window_s,method,windows,valid_windows,valid_fraction,mae_valid_bpm,rmse_valid_bpm,bias_valid_bpm,penalized_mae_bpm,invalid_windows
sitting,temperature_right,20,Autokorelacja,20,20,1.0,14.035088422761044,16.780449275129023,-5.75327024094286,14.035088422761044,0
sitting,temperature_right,20,FFT,20,20,1.0,6.463614431810933,7.508666105938032,-3.9777834006760586,6.463614431810933,0
sitting,temperature_right,20,Maksima,20,20,1.0,5.6160457195769125,7.350531747523543,0.14437145238525062,5.6160457195769125,0
sitting,temperature_right,20,Metoda nachylenia,20,20,1.0,4.75,5.6964901474504455,-2.15,4.75,0
sitting,temperature_right,20,Minima,20,20,1.0,4.427678758585293,5.877091195570508,0.7725764700570334,4.427678758585293,0
sitting,temperature_right,20,Przejścia przez zero,20,20,1.0,5.122639446437292,6.523132081589152,0.3010364210458878,5.122639446437292,0
sitting,tensometric,5,Autokorelacja,23,23,1.0,4.045567037948651,4.609858751560758,1.4070090790764238,4.045567037948651,0
sitting,tensometric,5,FFT,23,23,1.0,5.02779634054551,6.679246401084841,-2.178985157989519,5.02779634054551,0
sitting,tensometric,5,Maksima,23,6,0.2608695652173913,2.131161236424395,3.356131794514113,-1.4878863826232245,11.860302931241147,17
sitting,tensometric,5,Minima,23,7,0.30434782608695654,3.0864498909611693,3.932904957716966,2.474204993001986,12.461093445075138,16
sitting,tensometric,5,Przejścia przez zero,23,11,0.4782608695652174,3.71866304880659,4.208185564278915,0.34649985846158093,9.60457797986402,12
sitting,tensometric,10,Autokorelacja,22,22,1.0,12.858477437549148,17.903645513853043,3.341265274155285,12.858477437549148,0
sitting,tensometric,10,FFT,22,22,1.0,6.514953344720186,7.959460515529581,-4.289264776553901,6.514953344720186,0
sitting,tensometric,10,Maksima,22,20,0.9090909090909091,3.1642330162656487,4.331712755008594,0.14546707632323752,4.240211832968772,2
sitting,tensometric,10,Minima,22,17,0.7727272727272727,4.837254250598992,6.864914430725239,0.06852340987417731,6.6924237390992225,5
