session,phase,event_type,target_bpm,channel,device,method,p_reference,p_noise,snr_ref_db
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,pressure,Pas barometryczny,EMA,48173.89505278836,20128.25157876436,3.7900571023215086
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,pressure,Pas barometryczny,median,113448.90957218684,42336.31246958031,4.280872980718883
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,pressure,Pas barometryczny,S-G,163740.24879109467,42892.49644134431,5.817741220257878
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,33.28649113538953,611.4901599064614,-12.6412145594688
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,33.289096277235814,273.4711746626686,-9.146095508845779
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,27.487752588440742,248.59919449228286,-9.563604839386583
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,16.546852893584564,234.1292299145799,-11.507402307591075
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,30.33670524596931,255.5769773649283,-9.255533176159481
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,32.96227946622319,263.93096176450376,-9.034731031640883
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,18.184702841096595,165.55347327857388,-9.592320880158343
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,18.18455843822986,174.669971208534,-9.825154887843997
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,11.35316678322408,162.00113707699438,-11.544010449561863
