session,phase,channel,device,window_s,window_start_s,window_end_s,target_bpm,method,estimated_bpm,error_bpm,absolute_error_bpm,valid,event_count,contains_target_transition
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,75.0,80.0,25.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,75.0,80.0,25.0,Przejścia przez zero,22.857142857142858,-2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,75.0,80.0,25.0,Autokorelacja,25.263157894736842,0.2631578947368425,0.2631578947368425,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,75.0,80.0,25.0,FFT,22.59910014957171,-2.4008998504282886,2.4008998504282886,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,80.0,85.0,10.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,80.0,85.0,10.0,Minima,,,,False,0,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,80.0,85.0,10.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,80.0,85.0,10.0,Autokorelacja,14.117647058823529,4.117647058823529,4.117647058823529,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,80.0,85.0,10.0,FFT,4.699121102618301,-5.300878897381699,5.300878897381699,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,85.0,90.0,10.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,85.0,90.0,10.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,85.0,90.0,10.0,Przejścia przez zero,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,85.0,90.0,10.0,Autokorelacja,17.142857142857142,7.142857142857142,7.142857142857142,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,85.0,90.0,10.0,FFT,13.874662718907086,3.8746627189070857,3.8746627189070857,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,90.0,95.0,15.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,90.0,95.0,15.0,Minima,22.857142857142858,7.857142857142858,7.857142857142858,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,90.0,95.0,15.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,90.0,95.0,15.0,Autokorelacja,20.869565217391305,5.869565217391305,5.869565217391305,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,90.0,95.0,15.0,FFT,19.21632795477455,4.216327954774549,4.216327954774549,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,95.0,100.0,15.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,95.0,100.0,15.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,95.0,100.0,15.0,Przejścia przez zero,17.142857142857142,2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,95.0,100.0,15.0,Autokorelacja,19.2,4.199999999999999,4.199999999999999,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,95.0,100.0,15.0,FFT,17.572303656534434,2.5723036565344337,2.5723036565344337,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,100.0,105.0,20.0,Maksima,,,,False,0,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,100.0,105.0,20.0,Minima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,100.0,105.0,20.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,100.0,105.0,20.0,Autokorelacja,14.117647058823529,-5.882352941176471,5.882352941176471,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,100.0,105.0,20.0,FFT,5.112747935875967,-14.887252064124034,14.887252064124034,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,105.0,110.0,20.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,105.0,110.0,20.0,Minima,22.857142857142858,2.8571428571428577,2.8571428571428577,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,105.0,110.0,20.0,Przejścia przez zero,26.666666666666668,6.666666666666668,6.666666666666668,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,105.0,110.0,20.0,Autokorelacja,21.818181818181817,1.8181818181818166,1.8181818181818166,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,105.0,110.0,20.0,FFT,19.650827257503447,-0.3491727424965525,0.3491727424965525,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,110.0,115.0,25.0,Maksima,24.0,-1.0,1.0,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,110.0,115.0,25.0,Minima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,110.0,115.0,25.0,Przejścia przez zero,17.77777777777778,-7.222222222222221,7.222222222222221,True,2,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,110.0,115.0,25.0,Autokorelacja,20.0,-5.0,5.0,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,110.0,115.0,25.0,FFT,19.408493464480582,-5.591506535519418,5.591506535519418,True,1,True
